semestre,matriculados,registros,presentes,publicados,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,comuna,prestacion_servicio,ponderado_global,ponderado_lectura,ponderado_matematicas,ponderado_sociales,ponderado_naturales,ponderado_ingles,punt_global_med,punt_lectura_med,punt_matematicas_med,punt_sociales_med,punt_naturales_med,punt_ingles_med,punt_global_sector,punt_lectura_sector,punt_matematicas_sector,punt_sociales_sector,punt_naturales_sector,punt_ingles_sector,punt_global_comu,punt_lectura_comu,punt_matematicas_comu,punt_sociales_comu,punt_naturales_comu,punt_ingles_comu
20142,26.0,24,24,24,251.0,52.0,49.0,51.0,50.0,46.0,santa cruz,oficial,6024.0,1248.0,1176.0,1224.0,1200.0,1104.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,28.0,29,29,29,247.0,52.0,49.0,50.0,47.0,49.0,santa cruz,oficial,7163.0,1508.0,1421.0,1450.0,1363.0,1421.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,79.0,69,66,63,241.0,49.0,48.0,48.0,48.0,47.0,santa cruz,oficial,15183.0,3087.0,3024.0,3024.0,3024.0,2961.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,247.7364865,50.98310811,48.85810811,50.09290541,48.73986486,48.17905405
20142,19.0,18,18,18,243.0,52.0,48.0,46.0,49.0,47.0,manrique,contratacion,4374.0,936.0,864.0,828.0,882.0,846.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,47.0,49,49,49,243.0,49.0,49.0,48.0,48.0,49.0,manrique,oficial,11907.0,2401.0,2401.0,2352.0,2352.0,2401.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,51.0,51,51,51,237.0,49.0,48.0,46.0,47.0,46.0,manrique,oficial,12087.0,2499.0,2448.0,2346.0,2397.0,2346.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,44.0,44,43,43,245.0,52.0,47.0,49.0,49.0,47.0,manrique,oficial,10535.0,2236.0,2021.0,2107.0,2107.0,2021.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,49.0,51,48,48,253.0,52.0,49.0,51.0,51.0,49.0,manrique,oficial,12144.0,2496.0,2352.0,2448.0,2448.0,2352.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,61.0,59,59,59,241.0,49.0,48.0,50.0,46.0,47.0,manrique,oficial,14219.0,2891.0,2832.0,2950.0,2714.0,2773.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,127.0,134,133,133,250.0,51.0,50.0,50.0,50.0,48.0,manrique,contratacion,33250.0,6783.0,6650.0,6650.0,6650.0,6384.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,29.0,29,29,29,233.0,47.0,45.0,47.0,47.0,47.0,manrique,oficial,6757.0,1363.0,1305.0,1363.0,1363.0,1363.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,1.0,106,104,104,248.0,51.0,49.0,51.0,48.0,48.0,manrique,oficial,25792.0,5304.0,5096.0,5304.0,4992.0,4992.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,28.0,28,28,28,247.0,51.0,49.0,50.0,48.0,49.0,manrique,contratacion,6916.0,1428.0,1372.0,1400.0,1344.0,1372.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,41.0,39,39,39,238.0,52.0,46.0,49.0,44.0,45.0,manrique,oficial,9282.0,2028.0,1794.0,1911.0,1716.0,1755.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
20142,57.0,57,57,57,272.0,56.0,53.0,54.0,55.0,53.0,manrique,contratacion,15504.0,3192.0,3021.0,3078.0,3135.0,3021.0,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,246.3892508,50.76628664,48.73697068,49.65798046,48.27850163,48.18241042
